,pos,chrom,region
6,155555274,2,2_155555198_155555300
7,155555282,2,2_155555198_155555300
8,155555300,2,2_155555198_155555300
0,33197695,22,22_33197693_33197794
1,33197710,22,22_33197693_33197794
2,33197713,22,22_33197693_33197794
3,33197717,22,22_33197693_33197794
4,33197725,22,22_33197693_33197794
5,33197767,22,22_33197693_33197794
6,33197770,22,22_33197693_33197794
7,33197778,22,22_33197693_33197794
8,33197782,22,22_33197693_33197794
9,33197785,22,22_33197693_33197794
10,33197794,22,22_33197693_33197794
0,74865925,17,17_74865923_74866022
1,74865927,17,17_74865923_74866022
2,74865929,17,17_74865923_74866022
3,74865969,17,17_74865923_74866022
4,74865975,17,17_74865923_74866022
5,74866004,17,17_74865923_74866022
6,74866006,17,17_74865923_74866022
7,74866012,17,17_74865923_74866022
8,74866017,17,17_74865923_74866022
9,74866022,17,17_74865923_74866022
0,126076980,3,3_126076978_126077046
1,126076995,3,3_126076978_126077046
2,126076999,3,3_126076978_126077046
3,126077016,3,3_126076978_126077046
4,126077032,3,3_126076978_126077046
5,126077046,3,3_126076978_126077046
0,220797737,2,2_220797735_220797833
1,220797746,2,2_220797735_220797833
2,220797773,2,2_220797735_220797833
3,220797778,2,2_220797735_220797833
4,220797833,2,2_220797735_220797833
0,1754823,10,10_1754821_1754903
1,1754863,10,10_1754821_1754903
2,1754871,10,10_1754821_1754903
3,1754895,10,10_1754821_1754903
4,1754903,10,10_1754821_1754903
0,1272938,7,7_1272936_1273038
1,1272942,7,7_1272936_1273038
2,1272950,7,7_1272936_1273038
3,1272962,7,7_1272936_1273038
4,1272972,7,7_1272936_1273038
5,1272986,7,7_1272936_1273038
6,1272990,7,7_1272936_1273038
7,1272995,7,7_1272936_1273038
8,1273007,7,7_1272936_1273038
9,1273016,7,7_1272936_1273038
10,1273027,7,7_1272936_1273038
11,1273038,7,7_1272936_1273038
0,131709345,12,12_131709343_131709413
1,131709353,12,12_131709343_131709413
2,131709377,12,12_131709343_131709413
3,131709407,12,12_131709343_131709413
4,131709413,12,12_131709343_131709413
0,43525278,9,9_43525276_43525342
1,43525291,9,9_43525276_43525342
2,43525320,9,9_43525276_43525342
3,43525331,9,9_43525276_43525342
4,43525342,9,9_43525276_43525342
0,48937055,15,15_48937053_48937135
1,48937058,15,15_48937053_48937135
2,48937066,15,15_48937053_48937135
3,48937074,15,15_48937053_48937135
4,48937077,15,15_48937053_48937135
5,48937081,15,15_48937053_48937135
6,48937088,15,15_48937053_48937135
7,48937093,15,15_48937053_48937135
8,48937104,15,15_48937053_48937135
9,48937117,15,15_48937053_48937135
10,48937135,15,15_48937053_48937135
0,51189801,16,16_51189799_51189884
1,51189807,16,16_51189799_51189884
2,51189813,16,16_51189799_51189884
3,51189844,16,16_51189799_51189884
4,51189869,16,16_51189799_51189884
5,51189875,16,16_51189799_51189884
6,51189878,16,16_51189799_51189884
7,51189884,16,16_51189799_51189884
0,192126914,3,3_192126912_192126996
1,192126928,3,3_192126912_192126996
2,192126935,3,3_192126912_192126996
3,192126942,3,3_192126912_192126996
4,192126960,3,3_192126912_192126996
5,192126975,3,3_192126912_192126996
6,192126986,3,3_192126912_192126996
7,192126991,3,3_192126912_192126996
8,192126996,3,3_192126912_192126996
0,133788662,11,11_133788660_133788762
1,133788671,11,11_133788660_133788762
2,133788691,11,11_133788660_133788762
3,133788723,11,11_133788660_133788762
4,133788730,11,11_133788660_133788762
5,133788739,11,11_133788660_133788762
6,133788756,11,11_133788660_133788762
7,133788762,11,11_133788660_133788762
0,102068698,13,13_102068696_102068793
1,102068700,13,13_102068696_102068793
2,102068704,13,13_102068696_102068793
3,102068707,13,13_102068696_102068793
4,102068710,13,13_102068696_102068793
5,102068713,13,13_102068696_102068793
6,102068716,13,13_102068696_102068793
7,102068726,13,13_102068696_102068793
8,102068730,13,13_102068696_102068793
9,102068749,13,13_102068696_102068793
10,102068751,13,13_102068696_102068793
11,102068754,13,13_102068696_102068793
12,102068763,13,13_102068696_102068793
13,102068767,13,13_102068696_102068793
14,102068773,13,13_102068696_102068793
15,102068775,13,13_102068696_102068793
16,102068790,13,13_102068696_102068793
17,102068793,13,13_102068696_102068793
0,43319041,9,9_43319039_43319117
1,43319048,9,9_43319039_43319117
2,43319081,9,9_43319039_43319117
3,43319104,9,9_43319039_43319117
4,43319113,9,9_43319039_43319117
5,43319117,9,9_43319039_43319117
0,11420769,12,12_11420767_11420836
1,11420773,12,12_11420767_11420836
2,11420778,12,12_11420767_11420836
3,11420832,12,12_11420767_11420836
4,11420836,12,12_11420767_11420836
0,63276268,2,2_63276266_63276358
1,63276272,2,2_63276266_63276358
2,63276325,2,2_63276266_63276358
3,63276347,2,2_63276266_63276358
4,63276358,2,2_63276266_63276358
0,42974265,9,9_42974263_42974339
1,42974269,9,9_42974263_42974339
2,42974271,9,9_42974263_42974339
3,42974281,9,9_42974263_42974339
4,42974314,9,9_42974263_42974339
5,42974325,9,9_42974263_42974339
6,42974339,9,9_42974263_42974339
0,135237708,10,10_135237706_135237808
1,135237717,10,10_135237706_135237808
2,135237726,10,10_135237706_135237808
3,135237737,10,10_135237706_135237808
4,135237750,10,10_135237706_135237808
5,135237754,10,10_135237706_135237808
6,135237761,10,10_135237706_135237808
7,135237775,10,10_135237706_135237808
8,135237798,10,10_135237706_135237808
9,135237800,10,10_135237706_135237808
10,135237802,10,10_135237706_135237808
11,135237804,10,10_135237706_135237808
12,135237808,10,10_135237706_135237808
0,104500705,9,9_104500703_104500760
1,104500729,9,9_104500703_104500760
2,104500731,9,9_104500703_104500760
3,104500749,9,9_104500703_104500760
4,104500753,9,9_104500703_104500760
5,104500760,9,9_104500703_104500760
0,45304751,2,2_45304749_45304846
1,45304774,2,2_45304749_45304846
2,45304784,2,2_45304749_45304846
3,45304817,2,2_45304749_45304846
4,45304846,2,2_45304749_45304846
0,21548897,12,12_21548895_21548994
1,21548919,12,12_21548895_21548994
2,21548938,12,12_21548895_21548994
3,21548969,12,12_21548895_21548994
4,21548994,12,12_21548895_21548994
0,129338187,12,12_129338185_129338273
1,129338189,12,12_129338185_129338273
2,129338193,12,12_129338185_129338273
3,129338207,12,12_129338185_129338273
4,129338210,12,12_129338185_129338273
5,129338219,12,12_129338185_129338273
6,129338231,12,12_129338185_129338273
7,129338238,12,12_129338185_129338273
8,129338245,12,12_129338185_129338273
9,129338251,12,12_129338185_129338273
10,129338253,12,12_129338185_129338273
11,129338260,12,12_129338185_129338273
12,129338266,12,12_129338185_129338273
13,129338268,12,12_129338185_129338273
14,129338273,12,12_129338185_129338273
0,24047057,14,14_24047055_24047154
1,24047087,14,14_24047055_24047154
2,24047095,14,14_24047055_24047154
3,24047143,14,14_24047055_24047154
4,24047154,14,14_24047055_24047154
0,42738813,10,10_42738811_42738908
1,42738815,10,10_42738811_42738908
2,42738829,10,10_42738811_42738908
3,42738836,10,10_42738811_42738908
4,42738838,10,10_42738811_42738908
5,42738853,10,10_42738811_42738908
6,42738861,10,10_42738811_42738908
7,42738877,10,10_42738811_42738908
8,42738883,10,10_42738811_42738908
9,42738889,10,10_42738811_42738908
10,42738891,10,10_42738811_42738908
11,42738903,10,10_42738811_42738908
12,42738906,10,10_42738811_42738908
13,42738908,10,10_42738811_42738908
0,54424834,12,12_54424832_54424931
1,54424845,12,12_54424832_54424931
2,54424847,12,12_54424832_54424931
3,54424862,12,12_54424832_54424931
4,54424882,12,12_54424832_54424931
5,54424902,12,12_54424832_54424931
6,54424931,12,12_54424832_54424931
0,69676749,15,15_69676747_69676820
1,69676758,15,15_69676747_69676820
2,69676780,15,15_69676747_69676820
3,69676789,15,15_69676747_69676820
4,69676820,15,15_69676747_69676820
0,78511549,1,1_78511547_78511643
1,78511578,1,1_78511547_78511643
2,78511592,1,1_78511547_78511643
3,78511596,1,1_78511547_78511643
4,78511600,1,1_78511547_78511643
5,78511609,1,1_78511547_78511643
6,78511627,1,1_78511547_78511643
7,78511640,1,1_78511547_78511643
8,78511643,1,1_78511547_78511643
0,34611431,17,17_34611429_34611514
1,34611450,17,17_34611429_34611514
2,34611497,17,17_34611429_34611514
3,34611506,17,17_34611429_34611514
4,34611514,17,17_34611429_34611514
0,77114243,9,9_77114241_77114342
1,77114272,9,9_77114241_77114342
2,77114295,9,9_77114241_77114342
3,77114301,9,9_77114241_77114342
4,77114311,9,9_77114241_77114342
5,77114342,9,9_77114241_77114342
0,99546806,2,2_99546804_99546902
1,99546826,2,2_99546804_99546902
2,99546844,2,2_99546804_99546902
3,99546864,2,2_99546804_99546902
4,99546882,2,2_99546804_99546902
5,99546902,2,2_99546804_99546902
0,1664098,11,11_1664096_1664181
1,1664110,11,11_1664096_1664181
2,1664116,11,11_1664096_1664181
3,1664119,11,11_1664096_1664181
4,1664181,11,11_1664096_1664181
0,46890914,10,10_46890912_46891010
1,46890939,10,10_46890912_46891010
2,46890954,10,10_46890912_46891010
3,46890998,10,10_46890912_46891010
4,46891002,10,10_46890912_46891010
5,46891010,10,10_46890912_46891010
0,50323353,10,10_50323351_50323448
1,50323356,10,10_50323351_50323448
2,50323363,10,10_50323351_50323448
3,50323367,10,10_50323351_50323448
4,50323369,10,10_50323351_50323448
5,50323373,10,10_50323351_50323448
6,50323402,10,10_50323351_50323448
7,50323410,10,10_50323351_50323448
8,50323419,10,10_50323351_50323448
9,50323422,10,10_50323351_50323448
10,50323424,10,10_50323351_50323448
11,50323428,10,10_50323351_50323448
12,50323432,10,10_50323351_50323448
13,50323448,10,10_50323351_50323448
0,30303552,19,19_30303550_30303651
1,30303556,19,19_30303550_30303651
2,30303558,19,19_30303550_30303651
3,30303570,19,19_30303550_30303651
4,30303575,19,19_30303550_30303651
5,30303585,19,19_30303550_30303651
6,30303601,19,19_30303550_30303651
7,30303609,19,19_30303550_30303651
8,30303629,19,19_30303550_30303651
9,30303632,19,19_30303550_30303651
10,30303635,19,19_30303550_30303651
11,30303637,19,19_30303550_30303651
12,30303646,19,19_30303550_30303651
13,30303651,19,19_30303550_30303651
0,18967252,1,1_18967250_18967334
1,18967265,1,1_18967250_18967334
2,18967269,1,1_18967250_18967334
3,18967272,1,1_18967250_18967334
4,18967288,1,1_18967250_18967334
5,18967313,1,1_18967250_18967334
6,18967324,1,1_18967250_18967334
7,18967326,1,1_18967250_18967334
8,18967329,1,1_18967250_18967334
9,18967334,1,1_18967250_18967334
0,66332148,15,15_66332146_66332239
1,66332159,15,15_66332146_66332239
2,66332168,15,15_66332146_66332239
3,66332171,15,15_66332146_66332239
4,66332182,15,15_66332146_66332239
5,66332193,15,15_66332146_66332239
6,66332202,15,15_66332146_66332239
7,66332205,15,15_66332146_66332239
8,66332216,15,15_66332146_66332239
9,66332227,15,15_66332146_66332239
10,66332236,15,15_66332146_66332239
11,66332239,15,15_66332146_66332239
0,128564772,11,11_128564770_128564853
1,128564783,11,11_128564770_128564853
2,128564787,11,11_128564770_128564853
3,128564797,11,11_128564770_128564853
4,128564808,11,11_128564770_128564853
5,128564811,11,11_128564770_128564853
6,128564817,11,11_128564770_128564853
7,128564819,11,11_128564770_128564853
8,128564833,11,11_128564770_128564853
9,128564839,11,11_128564770_128564853
10,128564842,11,11_128564770_128564853
11,128564850,11,11_128564770_128564853
12,128564853,11,11_128564770_128564853
0,112467655,3,3_112467653_112467712
1,112467659,3,3_112467653_112467712
2,112467664,3,3_112467653_112467712
3,112467692,3,3_112467653_112467712
4,112467702,3,3_112467653_112467712
5,112467704,3,3_112467653_112467712
6,112467712,3,3_112467653_112467712
0,93880415,13,13_93880413_93880499
1,93880421,13,13_93880413_93880499
2,93880444,13,13_93880413_93880499
3,93880447,13,13_93880413_93880499
4,93880466,13,13_93880413_93880499
5,93880469,13,13_93880413_93880499
6,93880472,13,13_93880413_93880499
7,93880499,13,13_93880413_93880499
0,85811547,2,2_85811545_85811636
1,85811558,2,2_85811545_85811636
2,85811562,2,2_85811545_85811636
3,85811567,2,2_85811545_85811636
4,85811582,2,2_85811545_85811636
5,85811588,2,2_85811545_85811636
6,85811592,2,2_85811545_85811636
7,85811597,2,2_85811545_85811636
8,85811600,2,2_85811545_85811636
9,85811603,2,2_85811545_85811636
10,85811612,2,2_85811545_85811636
11,85811630,2,2_85811545_85811636
12,85811636,2,2_85811545_85811636
0,1876818,5,5_1876816_1876915
1,1876825,5,5_1876816_1876915
2,1876831,5,5_1876816_1876915
3,1876840,5,5_1876816_1876915
4,1876846,5,5_1876816_1876915
5,1876852,5,5_1876816_1876915
6,1876855,5,5_1876816_1876915
7,1876857,5,5_1876816_1876915
8,1876877,5,5_1876816_1876915
9,1876889,5,5_1876816_1876915
10,1876897,5,5_1876816_1876915
11,1876906,5,5_1876816_1876915
12,1876915,5,5_1876816_1876915
0,93880524,13,13_93880522_93880618
1,93880534,13,13_93880522_93880618
2,93880583,13,13_93880522_93880618
3,93880601,13,13_93880522_93880618
4,93880612,13,13_93880522_93880618
5,93880618,13,13_93880522_93880618
0,79739679,2,2_79739677_79739778
1,79739697,2,2_79739677_79739778
2,79739712,2,2_79739677_79739778
3,79739718,2,2_79739677_79739778
4,79739724,2,2_79739677_79739778
5,79739737,2,2_79739677_79739778
6,79739744,2,2_79739677_79739778
7,79739746,2,2_79739677_79739778
8,79739752,2,2_79739677_79739778
9,79739755,2,2_79739677_79739778
10,79739766,2,2_79739677_79739778
11,79739774,2,2_79739677_79739778
12,79739778,2,2_79739677_79739778
0,129338083,12,12_129338081_129338179
1,129338086,12,12_129338081_129338179
2,129338089,12,12_129338081_129338179
3,129338092,12,12_129338081_129338179
4,129338098,12,12_129338081_129338179
5,129338102,12,12_129338081_129338179
6,129338110,12,12_129338081_129338179
7,129338114,12,12_129338081_129338179
8,129338117,12,12_129338081_129338179
9,129338120,12,12_129338081_129338179
10,129338123,12,12_129338081_129338179
11,129338130,12,12_129338081_129338179
12,129338146,12,12_129338081_129338179
13,129338154,12,12_129338081_129338179
14,129338165,12,12_129338081_129338179
15,129338171,12,12_129338081_129338179
16,129338173,12,12_129338081_129338179
17,129338179,12,12_129338081_129338179
0,11562471,8,8_11562469_11562565
1,11562477,8,8_11562469_11562565
2,11562482,8,8_11562469_11562565
3,11562488,8,8_11562469_11562565
4,11562501,8,8_11562469_11562565
5,11562504,8,8_11562469_11562565
6,11562510,8,8_11562469_11562565
7,11562520,8,8_11562469_11562565
8,11562526,8,8_11562469_11562565
9,11562529,8,8_11562469_11562565
10,11562539,8,8_11562469_11562565
11,11562565,8,8_11562469_11562565
0,18434641,16,16_18434639_18434738
1,18434651,16,16_18434639_18434738
2,18434664,16,16_18434639_18434738
3,18434681,16,16_18434639_18434738
4,18434686,16,16_18434639_18434738
5,18434693,16,16_18434639_18434738
6,18434697,16,16_18434639_18434738
7,18434738,16,16_18434639_18434738
0,4852207,8,8_4852205_4852274
1,4852212,8,8_4852205_4852274
2,4852232,8,8_4852205_4852274
3,4852235,8,8_4852205_4852274
4,4852243,8,8_4852205_4852274
5,4852258,8,8_4852205_4852274
6,4852270,8,8_4852205_4852274
7,4852272,8,8_4852205_4852274
8,4852274,8,8_4852205_4852274
0,54966643,4,4_54966641_54966742
1,54966649,4,4_54966641_54966742
2,54966655,4,4_54966641_54966742
3,54966663,4,4_54966641_54966742
4,54966668,4,4_54966641_54966742
5,54966676,4,4_54966641_54966742
6,54966679,4,4_54966641_54966742
7,54966681,4,4_54966641_54966742
8,54966688,4,4_54966641_54966742
9,54966703,4,4_54966641_54966742
10,54966711,4,4_54966641_54966742
11,54966728,4,4_54966641_54966742
12,54966742,4,4_54966641_54966742
0,17850396,22,22_17850394_17850486
1,17850406,22,22_17850394_17850486
2,17850411,22,22_17850394_17850486
3,17850421,22,22_17850394_17850486
4,17850431,22,22_17850394_17850486
5,17850433,22,22_17850394_17850486
6,17850470,22,22_17850394_17850486
7,17850486,22,22_17850394_17850486
0,108518490,13,13_108518488_108518572
1,108518494,13,13_108518488_108518572
2,108518505,13,13_108518488_108518572
3,108518518,13,13_108518488_108518572
4,108518521,13,13_108518488_108518572
5,108518524,13,13_108518488_108518572
6,108518527,13,13_108518488_108518572
7,108518530,13,13_108518488_108518572
8,108518533,13,13_108518488_108518572
9,108518540,13,13_108518488_108518572
10,108518564,13,13_108518488_108518572
11,108518572,13,13_108518488_108518572
0,1312680,6,6_1312678_1312770
1,1312683,6,6_1312678_1312770
2,1312688,6,6_1312678_1312770
3,1312694,6,6_1312678_1312770
4,1312720,6,6_1312678_1312770
5,1312770,6,6_1312678_1312770
0,180086122,5,5_180086120_180086215
1,180086160,5,5_180086120_180086215
2,180086169,5,5_180086120_180086215
3,180086178,5,5_180086120_180086215
4,180086180,5,5_180086120_180086215
5,180086186,5,5_180086120_180086215
6,180086189,5,5_180086120_180086215
7,180086204,5,5_180086120_180086215
8,180086206,5,5_180086120_180086215
9,180086212,5,5_180086120_180086215
10,180086215,5,5_180086120_180086215
0,6902863,3,3_6902861_6902957
1,6902872,3,3_6902861_6902957
2,6902878,3,3_6902861_6902957
3,6902880,3,3_6902861_6902957
4,6902885,3,3_6902861_6902957
5,6902902,3,3_6902861_6902957
6,6902905,3,3_6902861_6902957
7,6902907,3,3_6902861_6902957
8,6902930,3,3_6902861_6902957
9,6902940,3,3_6902861_6902957
10,6902957,3,3_6902861_6902957
0,178770949,5,5_178770947_178771048
1,178770960,5,5_178770947_178771048
2,178770998,5,5_178770947_178771048
3,178771007,5,5_178770947_178771048
4,178771017,5,5_178770947_178771048
5,178771024,5,5_178770947_178771048
6,178771029,5,5_178770947_178771048
7,178771034,5,5_178770947_178771048
8,178771042,5,5_178770947_178771048
9,178771048,5,5_178770947_178771048
0,137490173,3,3_137490171_137490271
1,137490196,3,3_137490171_137490271
2,137490210,3,3_137490171_137490271
3,137490228,3,3_137490171_137490271
4,137490240,3,3_137490171_137490271
5,137490260,3,3_137490171_137490271
6,137490268,3,3_137490171_137490271
7,137490271,3,3_137490171_137490271
0,86613043,16,16_86613041_86613132
1,86613048,16,16_86613041_86613132
2,86613062,16,16_86613041_86613132
3,86613067,16,16_86613041_86613132
4,86613074,16,16_86613041_86613132
5,86613084,16,16_86613041_86613132
6,86613094,16,16_86613041_86613132
7,86613132,16,16_86613041_86613132
0,12523329,8,8_12523327_12523388
1,12523344,8,8_12523327_12523388
2,12523368,8,8_12523327_12523388
3,12523372,8,8_12523327_12523388
4,12523388,8,8_12523327_12523388
0,24802216,4,4_24802214_24802312
1,24802232,4,4_24802214_24802312
2,24802253,4,4_24802214_24802312
3,24802264,4,4_24802214_24802312
4,24802282,4,4_24802214_24802312
5,24802312,4,4_24802214_24802312
0,178772439,5,5_178772437_178772527
1,178772446,5,5_178772437_178772527
2,178772448,5,5_178772437_178772527
3,178772453,5,5_178772437_178772527
4,178772462,5,5_178772437_178772527
5,178772467,5,5_178772437_178772527
6,178772469,5,5_178772437_178772527
7,178772477,5,5_178772437_178772527
8,178772481,5,5_178772437_178772527
9,178772489,5,5_178772437_178772527
10,178772491,5,5_178772437_178772527
11,178772502,5,5_178772437_178772527
12,178772519,5,5_178772437_178772527
13,178772523,5,5_178772437_178772527
14,178772527,5,5_178772437_178772527
0,178772123,5,5_178772121_178772221
1,178772126,5,5_178772121_178772221
2,178772133,5,5_178772121_178772221
3,178772135,5,5_178772121_178772221
4,178772151,5,5_178772121_178772221
5,178772154,5,5_178772121_178772221
6,178772163,5,5_178772121_178772221
7,178772177,5,5_178772121_178772221
8,178772182,5,5_178772121_178772221
9,178772200,5,5_178772121_178772221
10,178772203,5,5_178772121_178772221
11,178772206,5,5_178772121_178772221
12,178772209,5,5_178772121_178772221
13,178772212,5,5_178772121_178772221
14,178772221,5,5_178772121_178772221
0,19592588,14,14_19592586_19592667
1,19592605,14,14_19592586_19592667
2,19592609,14,14_19592586_19592667
3,19592613,14,14_19592586_19592667
4,19592667,14,14_19592586_19592667
0,81157097,17,17_81157095_81157184
1,81157108,17,17_81157095_81157184
2,81157113,17,17_81157095_81157184
3,81157161,17,17_81157095_81157184
4,81157184,17,17_81157095_81157184
0,21131260,15,15_21131258_21131351
1,21131272,15,15_21131258_21131351
2,21131307,15,15_21131258_21131351
3,21131314,15,15_21131258_21131351
4,21131340,15,15_21131258_21131351
5,21131351,15,15_21131258_21131351
0,114433123,13,13_114433121_114433207
1,114433136,13,13_114433121_114433207
2,114433139,13,13_114433121_114433207
3,114433156,13,13_114433121_114433207
4,114433158,13,13_114433121_114433207
5,114433174,13,13_114433121_114433207
6,114433187,13,13_114433121_114433207
7,114433207,13,13_114433121_114433207
0,946138,2,2_946136_946236
1,946146,2,2_946136_946236
2,946156,2,2_946136_946236
3,946158,2,2_946136_946236
4,946168,2,2_946136_946236
5,946194,2,2_946136_946236
6,946204,2,2_946136_946236
7,946211,2,2_946136_946236
8,946214,2,2_946136_946236
9,946219,2,2_946136_946236
10,946224,2,2_946136_946236
11,946227,2,2_946136_946236
12,946229,2,2_946136_946236
13,946236,2,2_946136_946236
0,1146534,2,2_1146532_1146607
1,1146545,2,2_1146532_1146607
2,1146574,2,2_1146532_1146607
3,1146595,2,2_1146532_1146607
4,1146607,2,2_1146532_1146607
0,5209111,2,2_5209109_5209210
1,5209194,2,2_5209109_5209210
2,5209198,2,2_5209109_5209210
3,5209200,2,2_5209109_5209210
4,5209210,2,2_5209109_5209210
0,177023868,2,2_177023866_177023959
1,177023916,2,2_177023866_177023959
2,177023924,2,2_177023866_177023959
3,177023949,2,2_177023866_177023959
4,177023959,2,2_177023866_177023959
0,37499000,1,1_37498998_37499094
1,37499007,1,1_37498998_37499094
2,37499030,1,1_37498998_37499094
3,37499042,1,1_37498998_37499094
4,37499053,1,1_37498998_37499094
5,37499062,1,1_37498998_37499094
6,37499074,1,1_37498998_37499094
7,37499094,1,1_37498998_37499094
0,2215058,12,12_2215056_2215147
1,2215067,12,12_2215056_2215147
2,2215093,12,12_2215056_2215147
3,2215111,12,12_2215056_2215147
4,2215120,12,12_2215056_2215147
5,2215147,12,12_2215056_2215147
0,39748673,9,9_39748671_39748763
1,39748691,9,9_39748671_39748763
2,39748751,9,9_39748671_39748763
3,39748761,9,9_39748671_39748763
4,39748763,9,9_39748671_39748763
0,35351616,1,1_35351614_35351709
1,35351627,1,1_35351614_35351709
2,35351645,1,1_35351614_35351709
3,35351679,1,1_35351614_35351709
4,35351697,1,1_35351614_35351709
5,35351709,1,1_35351614_35351709
0,11622841,2,2_11622839_11622941
1,11622846,2,2_11622839_11622941
2,11622854,2,2_11622839_11622941
3,11622876,2,2_11622839_11622941
4,11622893,2,2_11622839_11622941
5,11622902,2,2_11622839_11622941
6,11622904,2,2_11622839_11622941
7,11622911,2,2_11622839_11622941
8,11622913,2,2_11622839_11622941
9,11622919,2,2_11622839_11622941
10,11622927,2,2_11622839_11622941
11,11622937,2,2_11622839_11622941
12,11622941,2,2_11622839_11622941
0,25757003,18,18_25757001_25757091
1,25757007,18,18_25757001_25757091
2,25757015,18,18_25757001_25757091
3,25757024,18,18_25757001_25757091
4,25757027,18,18_25757001_25757091
5,25757030,18,18_25757001_25757091
6,25757033,18,18_25757001_25757091
7,25757036,18,18_25757001_25757091
8,25757039,18,18_25757001_25757091
9,25757042,18,18_25757001_25757091
10,25757045,18,18_25757001_25757091
11,25757063,18,18_25757001_25757091
12,25757078,18,18_25757001_25757091
13,25757081,18,18_25757001_25757091
14,25757083,18,18_25757001_25757091
15,25757091,18,18_25757001_25757091
0,150951022,4,4_150951020_150951118
1,150951044,4,4_150951020_150951118
2,150951048,4,4_150951020_150951118
3,150951050,4,4_150951020_150951118
4,150951060,4,4_150951020_150951118
5,150951088,4,4_150951020_150951118
6,150951093,4,4_150951020_150951118
7,150951097,4,4_150951020_150951118
8,150951104,4,4_150951020_150951118
9,150951118,4,4_150951020_150951118
0,115152172,5,5_115152170_115152258
1,115152190,5,5_115152170_115152258
2,115152198,5,5_115152170_115152258
3,115152215,5,5_115152170_115152258
4,115152239,5,5_115152170_115152258
5,115152244,5,5_115152170_115152258
6,115152255,5,5_115152170_115152258
7,115152258,5,5_115152170_115152258
0,13675834,8,8_13675832_13675897
1,13675851,8,8_13675832_13675897
2,13675857,8,8_13675832_13675897
3,13675859,8,8_13675832_13675897
4,13675881,8,8_13675832_13675897
5,13675889,8,8_13675832_13675897
6,13675897,8,8_13675832_13675897
0,43807999,22,22_43807997_43808090
1,43808031,22,22_43807997_43808090
2,43808035,22,22_43807997_43808090
3,43808037,22,22_43807997_43808090
4,43808039,22,22_43807997_43808090
5,43808042,22,22_43807997_43808090
6,43808047,22,22_43807997_43808090
7,43808051,22,22_43807997_43808090
8,43808054,22,22_43807997_43808090
9,43808057,22,22_43807997_43808090
10,43808069,22,22_43807997_43808090
11,43808077,22,22_43807997_43808090
12,43808079,22,22_43807997_43808090
13,43808090,22,22_43807997_43808090
0,111472351,12,12_111472349_111472447
1,111472357,12,12_111472349_111472447
2,111472375,12,12_111472349_111472447
3,111472385,12,12_111472349_111472447
4,111472388,12,12_111472349_111472447
5,111472403,12,12_111472349_111472447
6,111472412,12,12_111472349_111472447
7,111472414,12,12_111472349_111472447
8,111472427,12,12_111472349_111472447
9,111472429,12,12_111472349_111472447
10,111472432,12,12_111472349_111472447
11,111472436,12,12_111472349_111472447
12,111472445,12,12_111472349_111472447
13,111472447,12,12_111472349_111472447
0,46133002,9,9_46133000_46133095
1,46133010,9,9_46133000_46133095
2,46133017,9,9_46133000_46133095
3,46133030,9,9_46133000_46133095
4,46133054,9,9_46133000_46133095
5,46133059,9,9_46133000_46133095
6,46133071,9,9_46133000_46133095
7,46133076,9,9_46133000_46133095
8,46133084,9,9_46133000_46133095
9,46133093,9,9_46133000_46133095
10,46133095,9,9_46133000_46133095
0,45479697,15,15_45479695_45479792
1,45479700,15,15_45479695_45479792
